year_group,ks_level,topic_strand,sub_strand,statement
4,2,Number,fractions,"find the effect of dividing a one- or two-digit number by 10 and 100, identifying the value of the digits in the answer as ones, tenths and hundredths"
4,2,Number,fractions,round decimals with 1 decimal place to the nearest whole number
4,2,Number,fractions,compare numbers with the same number of decimal places up to 2 decimal places
4,2,Number,fractions,solve simple measure and money problems involving fractions and decimals to 2 decimal places
4,2,Geometry,Measurement,convert between different units of measure
4,2,Geometry,Measurement,measure and calculate the perimeter of a rectilinear figure (including squares) in centimetres and metres
4,2,Geometry,Measurement,find the area of rectilinear shapes by counting squares
4,2,Geometry,Measurement,"estimate, compare and calculate different measures, including money in pounds and pence"
4,2,Geometry,Measurement,"read, write and convert time between analogue and digital 12- and 24-hour clocks"
4,2,Geometry,Measurement,"solve problems involving converting from hours to minutes, minutes to seconds, years to months, weeks to days"
4,2,Geometry,properties of shapes,"compare and classify geometric shapes, including quadrilaterals and triangles, based on their properties and sizes"
4,2,Geometry,properties of shapes,identify acute and obtuse angles and compare and order angles up to 2 right angles by size
4,2,Geometry,properties of shapes,identify lines of symmetry in 2-D shapes presented in different orientations
4,2,Geometry,properties of shapes,complete a simple symmetric figure with respect to a specific line of symmetry
4,2,Geometry,position and direction,describe positions on a 2-D grid as coordinates in the first quadrant
4,2,Geometry,position and direction,describe movements between positions as translations of a given unit to the left/right and up/down
4,2,Geometry,position and direction,plot specified points and draw sides to complete a given polygon
4,2,Statistics,Statistics,"interpret and present discrete and continuous data using appropriate graphical methods, including bar charts and time graphs"
4,2,Statistics,Statistics,"solve comparison, sum and difference problems using information presented in bar charts, pictograms, tables and other graphs"
5,2,Number,number and place value,"read, write, order and compare numbers to at least 1,000,000 and determine the value of each digit"
5,2,Number,number and place value,"count forwards or backwards in steps of powers of 10 for any given number up to 1,000,000"
5,2,Number,number and place value,"interpret negative numbers in context, count forwards and backwards with positive and negative whole numbers, including through 0"
5,2,Number,number and place value,"round any number up to 1,000,000 to the nearest 10, 100, 1,000, 10,000 and 100,000"
5,2,Number,number and place value,solve number problems and practical problems that involve all of the above
5,2,Number,number and place value,"read Roman numerals to 1,000 (M) and recognise years written in Roman numerals"
5,2,Number,addition and subtraction,"add and subtract whole numbers with more than 4 digits, including using formal written methods (columnar addition and subtraction)"
5,2,Number,addition and subtraction,add and subtract numbers mentally with increasingly large numbers
5,2,Number,addition and subtraction,"use rounding to check answers to calculations and determine, in the context of a problem, levels of accuracy"
5,2,Number,addition and subtraction,"solve addition and subtraction multi-step problems in contexts, deciding which operations and methods to use and why"
5,2,Number,multiplication and division,"identify multiples and factors, including finding all factor pairs of a number, and common factors of 2 numbers"
5,2,Number,multiplication and division,"know and use the vocabulary of prime numbers, prime factors and composite (non-prime) numbers"
5,2,Number,multiplication and division,establish whether a number up to 100 is prime and recall prime numbers up to 19
